id,follow_schedule,guests_comfort,romantic_focus,music_enjoyment,packing_amount,tv_importance,study_social,commitments_sleep,travel_offcampus,roommate_bedtime,binge_tv,similar_major_importance,quiet_hours,alarm_time,smoke_drink,appliances_usage,guests_frequency,room_decoration,roommate_closeness,family_visits,laundry_frequency,activity_priorities,social_events,bedtime_weekdays,noise_level,room_absence,ideal_temperature,windows_open,sleep_flexibility,guest_curfew,neighbors_importance,eat_room,conflict_handling,user_id
1,10,7,1,8,4,1,5,5,1,4,7,3,8,3,1,3,4,3,7,1,8,8,5,4,4,7,4,5,6,3,1,2,8,7
2,7,6,2,10,8,1,9,4,2,7,6,1,4,4,6,3,3,7,5,1,6,8,7,9,8,7,3,2,4,7,6,3,2,8
3,5,9,5,8,6,2,4,3,4,4,6,7,2,6,5,2,6,5,8,3,6,6,5,4,4,5,4,3,8,1,3,4,4,10
